id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
SE;SUDESTE;2022-01-02 11:00:00;32314.04500000
N;NORTE;2022-01-02 12:00:00;4813.33900000
NE;NORDESTE;2022-01-02 12:00:00;9001.39399999
S;SUL;2022-01-02 12:00:00;10049.26900000
SE;SUDESTE;2022-01-02 12:00:00;32697.22100000
N;NORTE;2022-01-02 13:00:00;4927.60100000
NE;NORDESTE;2022-01-02 13:00:00;9217.44200000
S;SUL;2022-01-02 13:00:00;10377.89200000
SE;SUDESTE;2022-01-02 13:00:00;32904.08100000
N;NORTE;2022-01-02 14:00:00;5035.14900000
NE;NORDESTE;2022-01-02 14:00:00;9437.19299999
S;SUL;2022-01-02 14:00:00;10717.72000000
SE;SUDESTE;2022-01-02 14:00:00;33011.60600000
N;NORTE;2022-01-02 15:00:00;5160.80899999
NE;NORDESTE;2022-01-02 15:00:00;9705.27200000
S;SUL;2022-01-02 15:00:00;10887.72899999
SE;SUDESTE;2022-01-02 15:00:00;33723.86999999
N;NORTE;2022-01-02 16:00:00;5205.01000000
NE;NORDESTE;2022-01-02 16:00:00;9837.79100000
S;SUL;2022-01-02 16:00:00;11178.44100000
SE;SUDESTE;2022-01-02 16:00:00;35004.57900000
N;NORTE;2022-01-02 17:00:00;5226.27300000
NE;NORDESTE;2022-01-02 17:00:00;10303.32000000
S;SUL;2022-01-02 17:00:00;11672.39900000
SE;SUDESTE;2022-01-02 17:00:00;36567.27900000
N;NORTE;2022-01-02 18:00:00;5605.54000000
NE;NORDESTE;2022-01-02 18:00:00;11592.65800000
S;SUL;2022-01-02 18:00:00;12177.38700000
SE;SUDESTE;2022-01-02 18:00:00;38556.06300000
N;NORTE;2022-01-02 19:00:00;5985.71200000
NE;NORDESTE;2022-01-02 19:00:00;11889.12200000
S;SUL;2022-01-02 19:00:00;13050.58000000
SE;SUDESTE;2022-01-02 19:00:00;41456.25099999
N;NORTE;2022-01-02 20:00:00;6039.75800000
